订单,系统状态,规格,产品等级,物料,订单数量,已交货数量,销售订单,销售订单项目,基本开始日期,基本完成日期,物料描述,销售助理,车间备注,安排分切日期,实际完成日期,车间状态,未收货数量,是否关单,异常原因,涂布大卷,MES大卷库存,订单类型,是否正常交付,未正常交付原因,未正常交付责任部门,关单日期,月份,计划备注,处理结果
2000003391,结算   CNF  DLV  PRC  BCRQ GMPS MANC SETC*,*1520,0,2300002,810,870,0,0,2026-03-28 00:00:00,2026-03-31 00:00:00,MIT93-7-150,0,⏳待排单,00:00:00,2026-03-28 00:00:00,已完成,0,关单,0,MIT93-7-150(大),11277,备货订单,是,0,0,2026-03-29 00:00:00,3,,
2000003392,结算   PCNF DLV  PRC  BCRQ GMPS MANC SETC*,*1520,0,2300257,2700,2691,0,0,2026-03-30 00:00:00,2026-03-31 00:00:00,NC90-7-150,0,📅已过期,2026-03-31 00:00:00,2026-03-30 00:00:00,已完成,0,关单,0,NTE90-7-150(大),54971,备货订单,是,0,0,2026-03-31 00:00:00,3,,
2000003397,结算   CNF  DLV  PRC  BCRQ GMPS MANC SETC*,*1520,0,2360261,360,360,0,0,2026-04-05 00:00:00,2026-04-30 00:00:00,MATTE-S,0,⏳待排单,00:00:00,2026-04-07 00:00:00,已完成,0,关单,0,NW90-8-157U9-MS(大),0,品牌白包备货,是,0,0,2026-04-08 00:00:00,4,,
2000003398,结算   PCNF PRC  BCRQ GMPS MANC PDLV SETC*,*1520,0,2300123,4995,4742,0,0,2026-04-05 00:00:00,2026-04-30 00:00:00,MQS87-8-157-MS,0,差43卷，没膜；📅已过期,2026-04-08 00:00:00,2026-04-07 00:00:00,关闭,0,关单,缺膜,NW90-8-157U9-MS(大),0,备货订单,是,0,0,2026-04-08 00:00:00,4,,
2100001051,结算   DLV  PRC  CSER BCRQ GMPS MANC SETC,*1520,0,2360134,810,810,0,0,2026-04-06 00:00:00,2026-04-06 00:00:00,DA-200（白橙）,0,0,00:00:00,2025-06-09 00:00:00,0,0,关单,0,NW90-9-150U3(大),0,品牌白包备货,是,0,0,2025-06-10 00:00:00,4,,
2100003767,TECO CNF  DLV  PRC  CSER BCRQ GMPS MANC*,*1520,0,2360580,180,180,0,0,2026-05-29 00:00:00,2026-05-29 00:00:00,冰莓粉（宝马18m规格）,0,0,00:00:00,2025-09-23 00:00:00,0,0,关单,0,冰莓粉LA-125-6(大),219,品牌白包备货,是,0,0,2025-09-24 00:00:00,5,,
2100006033,结算   CNF  DLV  PRC  CSER BCRQ GMPS MANC*,*1520,0,2360254,810,810,0,0,2026-01-01 00:00:00,2026-01-29 00:00:00,TPU-HPM10,0,没膜；📅已过期,2026-01-03 00:00:00,2026-01-03 00:00:00,已完成,0,关单,缺膜,MIT93-7-200(大),0,品牌白包备货,是,0,0,2026-01-04 00:00:00,1,,
2100006158,结算   CNF  DLV  PRC  CSER BCRQ GMPS MANC*,15.00*1520,A,9100257,750,750,10019655,30,2026-01-01 00:00:00,2026-01-30 00:00:00,NC90-7-150,0,0,00:00:00,2025-12-31 00:00:00,0,0,关单,0,NTE90-7-150(大),54971,销售订单,是,0,0,2026-01-01 00:00:00,1,,
2100006164,结算   CNF  DLV  PRC  CSER BCRQ GMPS MANC*,*1520,0,2360850,1620,1620,0,0,2026-01-01 00:00:00,2026-01-29 00:00:00,BK90-7-143/OEM,0,1月份备货；📅已过期,2026-01-05 00:00:00,2026-01-05 00:00:00,已完成,0,关单,缺膜,BK90-7-143(大),31856,品牌白包备货,否,备货,无,2026-01-06 00:00:00,1,,
2100006180,结算   CNF  DLV  PRC  CSER BCRQ GMPS MANC*,*1520,0,2360261,810,810,0,0,2026-01-01 00:00:00,2026-01-29 00:00:00,MATTE-S,0,没膜；⏳待排单,00:00:00,2026-01-09 00:00:00,已完成,0,关单,缺膜,NW90-8-157U9-MS(大),0,品牌白包备货,否,备货,无,2026-01-10 00:00:00,1,,
2100006205,结算   CNF  DLV  PRC  CSER BCRQ GMPS MANC*,*1520,0,2360246,1620,1620,0,0,2026-01-01 00:00:00,2026-01-29 00:00:00,TPU-EM5,0,没膜；📅已过期,2026-01-03 00:00:00,2026-01-03 00:00:00,已完成,0,关单,缺膜,MQS87-7-150(大),64726,品牌白包备货,是,0,0,2026-01-04 00:00:00,1,,
2100006234,结算   CNF  DLV  PRC  CSER BCRQ GMPS MANC*,*1520,0,2360793,4050,4050,0,0,2026-01-01 00:00:00,2026-01-29 00:00:00,WH90-9-150U3（旧标签）,0,没膜；📅已过期,2026-01-03 00:00:00,2026-01-03 00:00:00,已完成,0,关单,缺膜,NW90-9-150U9(大),43199,品牌白包备货,是,0,0,2026-01-04 00:00:00,1,,
